# x y z u v w
1.496 6.28319 1.496 0 0 0
1.496 6.28319 2.0944 0 0 0
1.496 6.28319 2.69279 0 0 0
1.496 6.28319 3.29119 0 0 0
1.496 6.28319 3.88959 0 0 0
1.496 6.28319 4.48799 0 0 0
1.496 6.28319 5.08639 0 0 0
1.496 6.28319 5.68479 0 0 0
1.496 6.28319 6.28319 0 0 0
2.0944 0.299199 0.299199 0 0 0
2.0944 0.299199 0.897598 0 0 0
2.0944 0.299199 1.496 0 0 0
2.0944 0.299199 2.0944 0 0 0
2.0944 0.299199 2.69279 0 0 0
2.0944 0.299199 3.29119 0 0 0
2.0944 0.299199 3.88959 0 0 0
2.0944 0.299199 4.48799 0 0 0
2.0944 0.299199 5.08639 0 0 0
2.0944 0.299199 5.68479 0 0 0
2.0944 0.299199 6.28319 0 0 0
2.0944 0.897598 0.299199 0 0 0
2.0944 0.897598 0.897598 0 0.000872774 0
2.0944 0.897598 1.496 0 0.00072112 0
2.0944 0.897598 2.0944 0 0.00031886 0
2.0944 0.897598 2.69279 0 -0.00019421 0
2.0944 0.897598 3.29119 0 0 0
2.0944 0.897598 3.88959 0 0 0
2.0944 0.897598 4.48799 0 0 0
2.0944 0.897598 5.08639 0 0 0
2.0944 0.897598 5.68479 0 0 0
2.0944 0.897598 6.28319 0 0 0
2.0944 1.496 0.299199 0 0 0
2.0944 1.496 0.897598 0 0.000569465 0.000643305
2.0944 1.496 1.496 0.000791105 0.000470514 0.000723051
2.0944 1.496 2.0944 0.00130728 0.000208049 0.00055152
2.0944 1.496 2.69279 0.00136915 -0.000126718 0.000188323
2.0944 1.496 3.29119 0 0 0
2.0944 1.496 3.88959 0 0 0
2.0944 1.496 4.48799 0 0 0
2.0944 1.496 5.08639 0 0 0
2.0944 1.496 5.68479 0 0 0
2.0944 1.496 6.28319 0 0 0
2.0944 2.0944 0.299199 0 0 0
2.0944 2.0944 0.897598 0 6.82548e-05 0.00106305
2.0944 2.0944 1.496 0.00130728 5.63947e-05 0.00119483
2.0944 2.0944 2.0944 0.00216026 2.49363e-05 0.000911374
2.0944 2.0944 2.69279 0.00226249 -1.51881e-05 0.0003112
2.0944 2.0944 3.29119 0 0 0
2.0944 2.0944 3.88959 0 0 0
2.0944 2.0944 4.48799 0 0 0
2.0944 2.0944 5.08639 0 0 0
2.0944 2.0944 5.68479 0 0 0
2.0944 2.0944 6.28319 0 0 0
2.0944 2.69279 0.299199 0 0 0
2.0944 2.69279 0.897598 0 -0.000456676 0.00111336
2.0944 2.69279 1.496 0.00136915 -0.000377323 0.00125137
2.0944 2.69279 2.0944 0.00226249 -0.000166842 0.000954505
2.0944 2.69279 2.69279 0.00236956 0.00010162 0.000325928
2.0944 2.69279 3.29119 0 0 0
2.0944 2.69279 3.88959 0 0 0
2.0944 2.69279 4.48799 0 0 0
2.0944 2.69279 5.08639 0 0 0
2.0944 2.69279 5.68479 0 0 0
2.0944 2.69279 6.28319 0 0 0
2.0944 3.29119 0.299199 0 0 0
2.0944 3.29119 0.897598 0 0 0
2.0944 3.29119 1.496 0 0 0
2.0944 3.29119 2.0944 0 0 0
2.0944 3.29119 2.69279 0 0 0
2.0944 3.29119 3.29119 0 0 0
2.0944 3.29119 3.88959 0 0 0
2.0944 3.29119 4.48799 0 0 0
2.0944 3.29119 5.08639 0 0 0
2.0944 3.29119 5.68479 0 0 0
2.0944 3.29119 6.28319 0 0 0
2.0944 3.88959 0.299199 0 0 0
2.0944 3.88959 0.897598 0 0 0
2.0944 3.88959 1.496 0 0 0
2.0944 3.88959 2.0944 0 0 0
2.0944 3.88959 2.69279 0 0 0
2.0944 3.88959 3.29119 0 0 0
2.0944 3.88959 3.88959 0 0 0
2.0944 3.88959 4.48799 0 0 0
2.0944 3.88959 5.08639 0 0 0
2.0944 3.88959 5.68479 0 0 0
2.0944 3.88959 6.28319 0 0 0
2.0944 4.48799 0.299199 0 0 0
2.0944 4.48799 0.897598 0 0 0
2.0944 4.48799 1.496 0 0 0
2.0944 4.48799 2.0944 0 0 0
2.0944 4.48799 2.69279 0 0 0
2.0944 4.48799 3.29119 0 0 0
2.0944 4.48799 3.88959 0 0 0
2.0944 4.48799 4.48799 0 0 0
2.0944 4.48799 5.08639 0 0 0
2.0944 4.48799 5.68479 0 0 0
2.0944 4.48799 6.28319 0 0 0
2.0944 5.08639 0.299199 0 0 0
